site_id,province,latitude,longitude
ST-0795,Metro Manila,14.43808,120.99088
ST-4308,Davao del Norte,7.53719,125.7538
ST-3438,Metro Manila,14.625,121.0570004
ST-4776,Metro Manila,14.55415481,120.9948817
ST-3221,Metro Manila,14.5624,121.0138
ST-3309,Isabela,17.1091,121.6159
ST-3101,Quezon,14.0162,121.4012
ST-3317,Batangas,13.75164,121.052524
ST-1268,Rizal,14.61721,121.099
ST-1589,Cebu,10.2873,123.9444
ST-3215,Cebu,10.3172,123.9027
ST-2576,Pampanga,14.96741,120.68393
ST-0283,Metro Manila,14.5611,121.016
ST-3934,Capiz,11.495215,122.604116
ST-3465,Bulacan,14.7978,121.07
ST-2971,Bulacan,14.8868,120.9659
ST-3102,Negros Oriental,9.5905,123.1206
ST-2407,Aklan,11.95216,121.9301
ST-3581,Isabela,17.146,121.8894
ST-2652,Pampanga,15.17815,120.5881
ST-1156,Metro Manila,14.70835,121.0396
ST-3392,Leyte,11.2061,125.0249
ST-4144,Nueva Ecija,15.654444,120.777683
ST-2200,Metro Manila,14.65744,120.94754
ST-3377,Isabela,16.9860468,121.6018325
ST-4096,Bulacan,14.838956,120.757141
ST-2562,Davao Del Norte,7.29972,125.68328
ST-0421,Metro Manila,14.5888,121.06174
ST-3956,Tarlac,15.483705,120.609967
ST-0995,Rizal,14.5666,121.1813
ST-2635,Negros Occidental,10.66786,122.9452
ST-3436,Pampanga,15.1123,120.6328
ST-0285,Metro Manila,14.5864,121.0619
ST-0193,Batangas,13.7908,121.0098
ST-0762,Metro Manila,14.6212,121.05545
ST-1734,Bulacan,14.82345,120.954
ST-4743,,0,0
ST-2855,Capiz,11.43,122.92541
ST-0342,Metro Manila,14.62723,121.04728
ST-4733,Zambales,14.889248,120.237735
ST-5330,,0,0
ST-3624,ILOILO,10.752996,122.52228
ST-1673,Metro Manila,14.57055,120.9923
ST-4945,,0,0
ST-0462,Metro Manila,14.6866,120.99484
ST-3473,Misamis Oriental,8.4918,124.6406
ST-0136,Pampanga,14.9493,120.75894
ST-2036,Laguna,14.2688,121.1596
ST-2932,Iloilo,10.714,122.5753
ST-1037,Metro Manila,14.5734,121.0594
ST-9961,Pampanga,15.025483,120.684417
ST-3271,Laguna,14.0651,121.2461
ST-0152,Cavite,14.3222,120.96393
ST-0103,Metro Manila,14.4923,120.98792
ST-0060,Rizal,14.58619,121.11539
ST-4911,,0,0
ST-0088,Rizal,14.58095,121.17602
ST-3074,Isabela,16.6895,121.552
ST-0788,Benguet,16.4192,120.597
ST-2907,Agusan Del Norte,8.9252,125.53992
ST-0075,Rizal,14.5879,121.17521
ST-3720,Rizal,14.6063,121.1733
ST-0947,Cebu,10.3209,123.93373
ST-5105,,0,0
ST-5106,,0,0
ST-5454,,0,0
ST-0188,Metro Manila,14.6434,121.0377
ST-3200,Metro Manila,14.5026,121.0167
ST-0141,Metro Manila,14.75597,121.0439
ST-3139,Isabela,17.3113,121.605
ST-3033,Laguna,14.3162,121.1097
ST-2937,Davao Del Norte,7.437,125.8094
ST-0176,Metro Manila,14.62008,121.0512
ST-0144,Metro Manila,14.58631,121.02576
ST-4625,Batangas,14.13185,121.111081
ST-2892,Metro Manila,14.6605,121.04478
ST-2586,Rizal,14.62771,121.16712
ST-0137,Laguna,14.34349,121.0584
ST-0215,Metro Manila,14.61041,121.05273
ST-2858,Misamis Oriental,8.5027,124.6427
ST-0156,Metro Manila,14.55913,121.0461
ST-3589,Metro Manila,14.6175,121.001
ST-0185,Metro Manila,14.5171,120.994
ST-0206,Metro Manila,14.4638,120.96908
ST-0249,Rizal,14.46458,121.19221
ST-2859,Metro Manila,14.5813,120.9808
ST-0250,Metro Manila,14.62261,121.05202
ST-1471,Pangasinan,16.06514,120.09562
ST-0229,Metro Manila,14.56077,121.0175
ST-2573,Davao De Oro,7.1389,125.8938
ST-1821,Pangasinan,16.0431,120.344
ST-2703,Cebu,10.2928,123.9038
ST-1013,Ilocos Norte,18.0551,120.5651
